section_id,family,depth_m,flange_width_m,web_thickness_m,flange_thickness_m,weight_kg_m,wall_thickness_m,lip_m,source_note
C10X15.3,C,0.254,0.06604,0.006096,0.011074,22.7689,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C10X20,C,0.254,0.069596,0.009627,0.011074,29.7633,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C10X25,C,0.254,0.073406,0.01336,0.011074,37.2041,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C10X30,C,0.254,0.076962,0.017094,0.011074,44.6449,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C12X20.7,C,0.3048,0.074676,0.007163,0.012725,30.805,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C12X25,C,0.3048,0.07747,0.00983,0.012725,37.2041,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C12X30,C,0.3048,0.080518,0.012954,0.012725,44.6449,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C15X33.9,C,0.381,0.08636,0.01016,0.01651,50.4488,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C15X40,C,0.381,0.089408,0.013208,0.01651,59.5266,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C15X50,C,0.381,0.094488,0.018186,0.01651,74.4082,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C3X3.5,C,0.0762,0.034798,0.003353,0.006934,5.2086,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C3X4.1,C,0.0762,0.035814,0.004318,0.006934,6.1015,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C3X5,C,0.0762,0.0381,0.006553,0.006934,7.4408,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
C3X6,C,0.0762,0.04064,0.009042,0.006934,8.929,0,0,steelpy packaged AISC-style section properties; verify against official AISC Shapes Database v16.0 before engineering use.
